tip_proprietate,tip_tranzactie,nr_camere,suprafata,suprafata_teren,an_constructie,zona,pret,link
APT,CMP,2,39,39,2023,tatarasi,33800,https://www.imobiliare.ro/vanzare-apartamente/iasi/tatarasi/apartament-de-vanzare-2-camere-XCC10000K
APT,CMP,2,61,61,2019,bucium,60000,https://www.imobiliare.ro/vanzare-apartamente/iasi/bucium/apartament-de-vanzare-2-camere-X0BG10035
APT,CMP,2,55.82,55.82,2022,copou,64200,https://www.imobiliare.ro/vanzare-apartamente/iasi/copou/apartament-de-vanzare-2-camere-XAHB00003
CAS,CMP,1,43.5,43.5,2023,tatarasi,36180,https://www.imobiliare.ro/vanzare-garsoniere/iasi/tatarasi/garsoniera-de-vanzare-XCC10001T
APT,CMP,3,65,65,1982,nicolina,69990,https://www.imobiliare.ro/vanzare-apartamente/iasi/nicolina/apartament-de-vanzare-3-camere-XB2A1009L
CAS,CMP,1,46.96,46.96,2021,tatarasi,61048,https://www.imobiliare.ro/vanzare-garsoniere/iasi/tatarasi/garsoniera-de-vanzare-XA9R00002
APT,CMP,2,69.4,69.4,2020,tatarasi,86056,https://www.imobiliare.ro/vanzare-apartamente/iasi/tatarasi/apartament-de-vanzare-2-camere-XBEE0000D
CAS,CMP,1,41.55,41.55,2021,tatarasi,47782,https://www.imobiliare.ro/vanzare-garsoniere/iasi/tatarasi/garsoniera-de-vanzare-XCC100007
CAS,INC,4,236,377,2008,moara-de-vant,1550,https://www.imobiliare.ro/inchirieri-case-vile/iasi/moara-de-vant/casa-de-inchiriat-4-camere-X0BG1104I
CAS,INC,4,130,300,2020,valea-adanca,650,https://www.imobiliare.ro/inchirieri-case-vile/iasi/valea-adanca/casa-de-inchiriat-4-camere-X3V41107M
CAS,INC,10,400,2500,2016,visan,1600,https://www.imobiliare.ro/inchirieri-case-vile/iasi/visan/casa-de-inchiriat-10-camere-XBVL0101H
CAS,INC,3,76,50,2011,miroslava,360,https://www.imobiliare.ro/inchirieri-case-vile/iasi/miroslava/casa-de-inchiriat-3-camere-X3N50102S
CAS,INC,5,237,378,2010,tatarasi,1700,https://www.imobiliare.ro/inchirieri-case-vile/iasi/tatarasi/casa-de-inchiriat-5-camere-X95I1102I
CAS,INC,4,110,300,2018,pacurari,650,https://www.imobiliare.ro/inchirieri-case-vile/iasi/pacurari/casa-de-inchiriat-4-camere-X3N501030
CAS,INC,4,110,400,2016,popas-pacurari,700,https://www.imobiliare.ro/inchirieri-case-vile/iasi/popas-pacurari/casa-de-inchiriat-4-camere-X0BG11044
CAS,INC,7,200,700,2017,bucium,650,https://www.imobiliare.ro/inchirieri-case-vile/iasi/bucium/casa-de-inchiriat-7-camere-X3N501007
CAS,INC,4,140,700,2008,tatarasi,900,https://www.imobiliare.ro/inchirieri-case-vile/iasi/tatarasi/casa-de-inchiriat-4-camere-X3N50102Q
CAS,INC,5,330,500,2007,nicolina,750,https://www.imobiliare.ro/inchirieri-case-vile/iasi/nicolina/casa-de-inchiriat-5-camere-X3N501032
CAS,INC,5,140,800,2000,tatarasi,900,https://www.imobiliare.ro/inchirieri-case-vile/iasi/tatarasi/casa-de-inchiriat-5-camere-X0BG1103D
CAS,INC,2,60,200,1959,podul-de-fier,700,https://www.imobiliare.ro/inchirieri-case-vile/iasi/podul-de-fier/casa-de-inchiriat-2-camere-X9I501004
CAS,INC,4,110,500,2019,popas-pacurari,700,https://www.imobiliare.ro/inchirieri-case-vile/iasi/popas-pacurari/casa-de-inchiriat-4-camere-X3N501036
CAS,INC,4,80,237,2011,copou,750,https://www.imobiliare.ro/inchirieri-case-vile/iasi/copou/casa-de-inchiriat-4-camere-X3N501035
CAS,CMP,4,100,200,2021,visan,85000,https://www.imobiliare.ro/vanzare-case-vile/iasi/visan/casa-de-vanzare-sau-de-inchiriat-4-camere-X7DH1100K
CAS,INC,3,130,700,2017,popas-pacurari,699,https://www.imobiliare.ro/inchirieri-case-vile/iasi/popas-pacurari/casa-de-inchiriat-3-camere-X4A001016
CAS,INC,4,219,555,2008,pacurari,990,https://www.imobiliare.ro/inchirieri-case-vile/iasi/pacurari/casa-de-inchiriat-4-camere-XV0601S33
CAS,INC,3,100,100,2015,popas-pacurari,350,https://www.imobiliare.ro/inchirieri-case-vile/iasi/popas-pacurari/casa-de-inchiriat-3-camere-XA6H01008
CAS,INC,3,100,400,2020,tatarasi,500,https://www.imobiliare.ro/inchirieri-case-vile/iasi/tatarasi/casa-de-inchiriat-3-camere-X0BG1104F
APT,INC,2,57,57,2013,tatarasi,299,https://www.imobiliare.ro/inchirieri-apartamente/iasi/tatarasi/apartament-de-inchiriat-2-camere-X5AK100FB
APT,INC,2,45,45,2017,central,400,https://www.imobiliare.ro/inchirieri-apartamente/iasi/central/apartament-de-inchiriat-2-camere-XV0L00EPH
CAS,INC,1,33,33,2020,copou,350,https://www.imobiliare.ro/inchirieri-garsoniere/iasi/copou/garsoniera-de-inchiriat-X5AK101I8
APT,INC,2,40,40,2017,centru-civic,350,https://www.imobiliare.ro/inchirieri-apartamente/iasi/centru-civic/apartament-de-inchiriat-2-camere-X5AK101J3
APT,INC,2,40,40,2018,tudor-vladimirescu,320,https://www.imobiliare.ro/inchirieri-apartamente/iasi/tudor-vladimirescu/apartament-de-inchiriat-2-camere-X5AK101IR
CAS,INC,1,35,35,2020,nicolina,270,https://www.imobiliare.ro/inchirieri-garsoniere/iasi/nicolina/garsoniera-de-inchiriat-X5AK101E0
APT,INC,3,70,70,1980,dacia,280,https://www.imobiliare.ro/inchirieri-apartamente/iasi/dacia/apartament-de-inchiriat-3-camere-X5AK101P4
APT,INC,2,45,45,2018,pacurari,370,https://www.imobiliare.ro/inchirieri-apartamente/iasi/pacurari/apartament-de-inchiriat-2-camere-X5AK101PQ
APT,CMP,2,45,45,2020,nicolina,58500,https://www.imobiliare.ro/vanzare-apartamente/iasi/nicolina/apartament-de-vanzare-sau-de-inchiriat-2-camere-XCHD0000J
APT,INC,2,58,58,2016,bucium,299,https://www.imobiliare.ro/inchirieri-apartamente/iasi/bucium/apartament-de-inchiriat-2-camere-X5AK1015J
CAS,INC,1,40,40,2018,bucium,230,https://www.imobiliare.ro/inchirieri-garsoniere/iasi/bucium/garsoniera-de-inchiriat-X5AK101EH
APT,INC,2,49,49,2017,copou,300,https://www.imobiliare.ro/inchirieri-apartamente/iasi/copou/apartament-de-inchiriat-2-camere-X5AK101FR
CAS,INC,1,40,40,1990,podu-ros,250,https://www.imobiliare.ro/inchirieri-garsoniere/iasi/podu-ros/garsoniera-de-inchiriat-X9CJ00099
CAS,INC,1,42,42,2020,tudor-vladimirescu,330,https://www.imobiliare.ro/inchirieri-garsoniere/iasi/tudor-vladimirescu/garsoniera-de-inchiriat-X8BK0000K
APT,INC,2,59,59,2020,tudor-vladimirescu,430,https://www.imobiliare.ro/inchirieri-apartamente/iasi/tudor-vladimirescu/apartament-de-inchiriat-2-camere-X8BK0000J
APT,INC,2,45,45,2017,tatarasi,290,https://www.imobiliare.ro/inchirieri-apartamente/iasi/tatarasi/apartament-de-inchiriat-2-camere-XBQQ00013
APT,INC,2,55,55,1970,socola,260,https://www.imobiliare.ro/inchirieri-apartamente/iasi/socola/apartament-de-inchiriat-2-camere-X5AK101P5
CAS,INC,1,42,42,1986,pacurari,260,https://www.imobiliare.ro/inchirieri-garsoniere/iasi/pacurari/garsoniera-de-inchiriat-X5AK101OK
APT,INC,2,45,45,2017,centru-civic,420,https://www.imobiliare.ro/inchirieri-apartamente/iasi/centru-civic/apartament-de-inchiriat-2-camere-XV0L00B1L
APT,INC,2,55,55,1980,tudor-vladimirescu,350,https://www.imobiliare.ro/inchirieri-apartamente/iasi/tudor-vladimirescu/apartament-de-inchiriat-2-camere-X5AK101JG
APT,INC,2,48,48,2020,central,450,https://www.imobiliare.ro/inchirieri-apartamente/iasi/central/apartament-de-inchiriat-2-camere-X5AK101P6
APT,INC,2,36,36,2020,copou,300,https://www.imobiliare.ro/inchirieri-apartamente/iasi/copou/apartament-de-inchiriat-2-camere-XC1V00001
CAS,INC,1,40,40,2015,galata,250,https://www.imobiliare.ro/inchirieri-garsoniere/iasi/galata/garsoniera-de-inchiriat-X4NS000IB
APT,INC,2,56,56,1980,nicolina,320,https://www.imobiliare.ro/inchirieri-apartamente/iasi/nicolina/apartament-de-inchiriat-2-camere-XC1V0001T
CAS,CMP,4,90,270,2005,central,124000,https://www.imobiliare.ro/vanzare-case-vile/iasi/central/casa-de-vanzare-4-camere-XC0M0101P
APT,INC,2,60,60,2015,popas-pacurari,315,https://www.imobiliare.ro/inchirieri-apartamente/iasi/popas-pacurari/apartament-de-inchiriat-2-camere-XC1V0001R
CAS,CMP,3,105,500,2020,dancu,115000,https://www.imobiliare.ro/vanzare-case-vile/iasi/dancu/casa-de-vanzare-3-camere-X5AK1105L
CAS,CMP,4,150,505,2019,nicolina,248900,https://www.imobiliare.ro/vanzare-case-vile/iasi/nicolina/casa-de-vanzare-4-camere-XB881104C
CAS,CMP,4,105,250,2018,horpaz,87490,https://www.imobiliare.ro/vanzare-case-vile/iasi/horpaz/casa-de-vanzare-4-camere-X4A001019
CAS,CMP,4,118,240,2020,galata,135000,https://www.imobiliare.ro/vanzare-case-vile/iasi/galata/casa-de-vanzare-4-camere-XBC601004
CAS,CMP,4,118,240,2020,galata,135000,https://www.imobiliare.ro/vanzare-case-vile/iasi/galata/casa-de-vanzare-4-camere-XBC601007
CAS,CMP,4,115,320,2020,galata,155000,https://www.imobiliare.ro/vanzare-case-vile/iasi/galata/casa-de-vanzare-4-camere-XBC601002
CAS,CMP,4,118.4,320,2020,galata,160000,https://www.imobiliare.ro/vanzare-case-vile/iasi/galata/casa-de-vanzare-4-camere-XBC601005
CAS,CMP,4,115,320,2020,galata,155000,https://www.imobiliare.ro/vanzare-case-vile/iasi/galata/casa-de-vanzare-4-camere-XBC60100A
CAS,CMP,4,115,320,2020,galata,155000,https://www.imobiliare.ro/vanzare-case-vile/iasi/galata/casa-de-vanzare-4-camere-XBC60100B
CAS,CMP,4,115,320,2020,galata,155000,https://www.imobiliare.ro/vanzare-case-vile/iasi/galata/casa-de-vanzare-4-camere-XBC601009
CAS,CMP,3,85,100,2020,popas-pacurari,79900,https://www.imobiliare.ro/vanzare-case-vile/iasi/popas-pacurari/casa-de-vanzare-3-camere-X5110100L
CAS,CMP,3,140,455,1970,sararie,175000,https://www.imobiliare.ro/vanzare-case-vile/iasi/sararie/casa-de-vanzare-3-camere-X5110101J
CAS,CMP,9,275,1150,2010,nicolina,355000,https://www.imobiliare.ro/vanzare-case-vile/iasi/nicolina/casa-de-vanzare-9-camere-XV0701MVK
CAS,CMP,6,105,500,2021,visani,110000,https://www.imobiliare.ro/vanzare-case-vile/iasi/visani/casa-de-vanzare-6-camere-XV0701CL7
CAS,CMP,4,100,250,2021,bucium,99000,https://www.imobiliare.ro/vanzare-case-vile/iasi/bucium/casa-de-vanzare-4-camere-XV040170T
CAS,CMP,4,107,180,2020,bucium,88500,https://www.imobiliare.ro/vanzare-case-vile/iasi/bucium/casa-de-vanzare-4-camere-XV0701N2V
CAS,CMP,4,164,500,2020,holboca,92000,https://www.imobiliare.ro/vanzare-case-vile/iasi/holboca/casa-de-vanzare-4-camere-X5Q11102K
CAS,CMP,4,115,320,2020,galata,155000,https://www.imobiliare.ro/vanzare-case-vile/iasi/galata/casa-de-vanzare-4-camere-XBC601006
CAS,CMP,4,160,500,2012,tomesti,70000,https://www.imobiliare.ro/vanzare-case-vile/iasi/tomesti/casa-de-vanzare-4-camere-X5Q11102I
CAS,CMP,3,85,370,2020,miroslava,90000,https://www.imobiliare.ro/vanzare-case-vile/iasi/miroslava/casa-de-vanzare-3-camere-X4Q20101F
CAS,CMP,6,230,522,2006,popas-pacurari,158000,https://www.imobiliare.ro/vanzare-case-vile/iasi/popas-pacurari/casa-de-vanzare-6-camere-XV0501LMP
CAS,CMP,8,400,1000,2010,bucium,250000,https://www.imobiliare.ro/vanzare-case-vile/iasi/bucium/casa-de-vanzare-8-camere-XBVL01018
CAS,CMP,6,250,1000,2008,bucium,219000,https://www.imobiliare.ro/vanzare-case-vile/iasi/bucium/casa-de-vanzare-6-camere-XB2A1106D
CAS,CMP,6,200,500,2020,galata,165000,https://www.imobiliare.ro/vanzare-case-vile/iasi/galata/casa-de-vanzare-6-camere-X7N21102B
CAS,CMP,4,100,350,2019,bucium,104500,https://www.imobiliare.ro/vanzare-case-vile/iasi/bucium/casa-de-vanzare-4-camere-X5Q11102F
CAS,CMP,5,108,400,2020,bucium,110000,https://www.imobiliare.ro/vanzare-case-vile/iasi/bucium/casa-de-vanzare-5-camere-X5Q11101U
CAS,CMP,4,110,600,2021,valea-adanca,140000,https://www.imobiliare.ro/vanzare-case-vile/iasi/valea-adanca/casa-de-vanzare-4-camere-X5AK1102T
CAS,CMP,4,100,250,2020,miroslava,90800,https://www.imobiliare.ro/vanzare-case-vile/iasi/miroslava/casa-de-vanzare-4-camere-X5AK1105Q
CAS,CMP,4,115,320,2020,galata,155000,https://www.imobiliare.ro/vanzare-case-vile/iasi/galata/casa-de-vanzare-4-camere-XBC601001
CAS,CMP,1,38,38,2021,cug,36000,https://www.imobiliare.ro/vanzare-garsoniere/iasi/cug/garsoniera-de-vanzare-X4Q2002RK
APT,CMP,2,55,55,2020,pacurari,57800,https://www.imobiliare.ro/vanzare-apartamente/iasi/pacurari/apartament-de-vanzare-2-camere-XATQ0000U
APT,CMP,3,70,70,2021,copou,77800,https://www.imobiliare.ro/vanzare-apartamente/iasi/copou/apartament-de-vanzare-3-camere-X4Q2002NT
CAS,CMP,1,35,35,2023,pacurari,32840,https://www.imobiliare.ro/vanzare-garsoniere/iasi/pacurari/garsoniera-de-vanzare-X4Q2001LP
APT,CMP,2,70.55,70.55,2022,copou,84448,https://www.imobiliare.ro/vanzare-apartamente/iasi/copou/apartament-de-vanzare-2-camere-XBEE0000C
APT,CMP,3,99.5,99.5,2022,copou,134982,https://www.imobiliare.ro/vanzare-apartamente/iasi/copou/apartament-de-vanzare-3-camere-XBEE0000F
APT,CMP,2,39.5,39.5,2022,podul-de-piatra,63200,https://www.imobiliare.ro/vanzare-apartamente/iasi/podul-de-piatra/apartament-de-vanzare-2-camere-XC3C00002
APT,CMP,3,72,72,2021,pacurari,67200,https://www.imobiliare.ro/vanzare-apartamente/iasi/pacurari/apartament-de-vanzare-3-camere-X5AK101B3
APT,CMP,2,45,45,2020,bucium,35900,https://www.imobiliare.ro/vanzare-apartamente/iasi/bucium/apartament-de-vanzare-2-camere-X907100OF
APT,CMP,2,66,66,2020,galata,56000,https://www.imobiliare.ro/vanzare-apartamente/iasi/galata/apartament-de-vanzare-2-camere-X5AK1004S
APT,CMP,2,55,55,2021,bucium,42500,https://www.imobiliare.ro/vanzare-apartamente/iasi/bucium/apartament-de-vanzare-2-camere-X5AK10160
APT,CMP,2,64,64,2021,copou,59800,https://www.imobiliare.ro/vanzare-apartamente/iasi/copou/apartament-de-vanzare-2-camere-X907100QT
APT,CMP,2,48,48,2020,pacurari,37000,https://www.imobiliare.ro/vanzare-apartamente/iasi/pacurari/apartament-de-vanzare-2-camere-X907100Q1
APT,CMP,2,51,51,2021,nicolina,51000,https://www.imobiliare.ro/vanzare-apartamente/iasi/nicolina/apartament-de-vanzare-2-camere-X907100QU
